Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOBP Name,GOBP Name2,GOBP Name3,GOBP Name4,GOBP Name5,GOBP Name6,GOBP Name7,GOBP Name8,GOBP Name9,GOBP Name10,GOBP Name11,GOBP Name12,GOBP Name13,GOBP Name14,GOBP Name15,GOBP Name16,GOBP Name17,GOBP Name18,GOBP Name19,GOBP Name20,GOBP Name21,GOBP Name22,GOBP Name23,GOBP Name24,GOBP Name25,GOBP Name26,GOBP Name27,GOBP Name28,GOBP Name29,GOBP Name30,GOBP Name31,GOBP Name32,GOBP Name33,GOBP Name34,GOBP Name35,GOBP Name36,GOBP Name37,GOBP Name38,GOBP Name39,GOBP Name40,GOBP Name41,GOBP Name42,GOBP Name43,GOBP Name44,GOBP Name45,GOBP Name46,GOBP Name47,GOBP Name48,GOBP Name49,GOBP Name50,GOBP Name51,GOBP Name52,GOBP Name53,GOBP Name54,GOBP Name55,GOBP Name56,GOBP Name57,GOBP Name58,GOBP Name59,GOBP Name60,GOBP Name61,GOBP Name62,GOBP Name63,GOBP Name64,GOBP Name65,GOBP Name66,GOBP Name67,GOBP Name68,GOBP Name69,GOBP Name70,GOBP Name71,GOBP Name72,GOBP Name73,GOBP Name74,GOBP Name75,GOBP Name76,GOBP Name77,GOBP Name78,GOBP Name79,GOBP Name80,GOBP Name81,GOBP Name82
-0.706959,-0.347454,-0.323588,,,,12,56,26.559,7.77E-113,15,14,13,15068000,11085000,17804000,15184000,10293000,8636100,-0.459334,-0.347454,0.214782,-0.467594,0.0238658,-0.706959,-0.323588,0.383371,3,P21266,P21266,Glutathione S-transferase Mu 3,GSTM3,1,,,,550,,,amine metabolic process,anatomical structure development,carboxylic acid metabolic process,cell development,cellular amine metabolic process,cellular amino acid metabolic process,cellular developmental process,cellular ketone metabolic process,cellular metabolic process,cellular modified amino acid metabolic process,cellular nitrogen compound metabolic process,cellular process,developmental process,endothelial cell development,epithelial cell development,establishment of blood-nerve barrier,glutathione metabolic process,metabolic process,nitrogen compound metabolic process,organic acid metabolic process,oxoacid metabolic process,peptide metabolic process,primary metabolic process,response to chemical stimulus,response to endogenous stimulus,response to estrogen stimulus,response to hormone stimulus,response to organic substance,response to steroid hormone stimulus,response to stimulus,small molecule metabolic process,sulfur compound metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.431501,-0.504018,-0.459834,,,,4,39.3,17.512,1.02E-15,3,2,4,1606100,1303900,1430100,1161100,3860900,4222500,-0.465118,-0.459834,0.0365464,-0.0785744,0.028333,-0.504018,-0.431501,0.0725175,3,G3V4P8;P60983;O60234;G3V3X4,G3V4P8;P60983,Glia maturation factor beta,GMFB,4,,,,,,,anatomical structure development,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,developmental process,macromolecule metabolic process,macromolecule modification,metabolic process,nervous system development,phosphate-containing compound metabolic process,phosphorus metabolic process,phosphorylation,primary metabolic process,protein metabolic process,protein modification process,protein phosphorylation,system development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN,-0.526681,-0.404554,,,,2,4.5,64.149,3.25E-07,1,2,2,591170,787470,1666600,1666700,1276600,1376700,-0.465617,-0.465617,0.0863568,-0.185467,0.0610635,-0.526681,-0.404554,0.122127,2,P48163;B4DZ70;F5H4W0,P48163;B4DZ70;F5H4W0,NADP-dependent malic enzyme;Malic enzyme,ME1,3,,,,,,,biosynthetic process,carbohydrate metabolic process,carboxylic acid metabolic process,cellular biosynthetic process,cellular ketone metabolic process,cellular lipid metabolic process,cellular metabolic process,cellular nitrogen compound biosynthetic process,cellular nitrogen compound metabolic process,cellular process,coenzyme biosynthetic process,coenzyme metabolic process,cofactor biosynthetic process,cofactor metabolic process,dicarboxylic acid metabolic process,heterocycle biosynthetic process,heterocycle metabolic process,lipid metabolic process,malate metabolic process,metabolic process,NADP biosynthetic process,NADP metabolic process,nicotinamide nucleotide biosynthetic process,nicotinamide nucleotide metabolic process,nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,nucleoside phosphate metabolic process,nucleotide biosynthetic process,nucleotide metabolic process,organic acid metabolic process,oxidoreduction coenzyme metabolic process,oxoacid metabolic process,primary metabolic process,pyridine nucleotide biosynthetic process,pyridine nucleotide metabolic process,pyridine-containing compound biosynthetic process,pyridine-containing compound metabolic process,response to carbohydrate stimulus,response to chemical stimulus,response to endogenous stimulus,response to hormone stimulus,response to organic substance,response to stimulus,small molecule metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.587446,-0.395663,-0.415326,,,,5,67.5,12.774,3.08E-54,5,5,5,5022600,3970800,6697800,6079000,6759600,6337900,-0.466145,-0.415326,0.105509,-0.226343,0.0196632,-0.587446,-0.395663,0.191783,3,O75368,O75368,SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.76567,-0.342506,-0.299827,,,,10,57.4,21.225,3.23E-135,27,29,26,25637000,20315000,21899000,21904000,15240000,15671000,-0.469334,-0.342506,0.25752,-0.548692,0.0426796,-0.76567,-0.299827,0.465844,3,P02794;G3V192;G3V1D1;E9PKY7;E9PRK8;E9PK45;E9PKM5;E9PPQ4;E9PQR3,P02794;G3V192;G3V1D1;E9PKY7;E9PRK8,Ferritin heavy chain;Ferritin,FTH1,9,,,,,,,biological regulation,cation homeostasis,cation transport,cellular cation homeostasis,cellular chemical homeostasis,cellular component organization,cellular component organization or biogenesis,cellular homeostasis,cellular ion homeostasis,cellular iron ion homeostasis,cellular membrane organization,cellular metal ion homeostasis,cellular process,chemical homeostasis,establishment of localization,establishment of localization in cell,Golgi vesicle transport,homeostatic process,immune response,immune system process,intracellular sequestering of iron ion,intracellular transport,ion homeostasis,ion transport,iron ion homeostasis,iron ion transport,maintenance of location,maintenance of location in cell,membrane organization,metal ion homeostasis,metal ion transport,negative regulation of biological process,negative regulation of cell proliferation,negative regulation of cellular process,negative regulation of fibroblast proliferation,post-Golgi vesicle-mediated transport,regulation of biological process,regulation of biological quality,regulation of cell proliferation,regulation of cellular process,regulation of fibroblast proliferation,response to stimulus,sequestering of metal ion,transition metal ion transport,transmembrane transport,transport,vesicle-mediated transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.803494,-0.336136,-0.285706,,,,6,13.3,58.099,2.33E-15,8,7,9,7164500,3137000,3218700,3344100,2010400,2128800,-0.475112,-0.336136,0.285502,-0.600916,0.0504301,-0.803494,-0.285706,0.517787,3,P42785-2;P42785;B7Z7Q6;E9PIG4;E9PKN6;E9PQN3;E9PL85;E9PQB5;E9PNJ1;E9PNF7;E9PLY4;E9PL49;E9PR42,P42785-2;P42785;B7Z7Q6;E9PIG4;E9PKN6;E9PQN3;E9PL85;E9PQB5;E9PNJ1;E9PNF7,Lysosomal Pro-X carboxypeptidase,PRCP,13,,,,,,,"blood coagulation, intrinsic pathway",macromolecule metabolic process,metabolic process,primary metabolic process,protein activation cascade,protein metabolic process,proteolysis,response to stimulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.651813,-0.410888,-0.364292,,,,11,68.2,27.547,2.23E-65,10,19,11,15363000,12680000,20441000,18526000,20226000,19139000,-0.475665,-0.410888,0.154318,-0.324426,0.0465964,-0.651813,-0.364292,0.287521,3,O95336,O95336,6-phosphogluconolactonase,PGLS,1,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.58316,-0.416077,-0.428644,,,,10,29.7,37.377,6.38E-156,15,13,13,47387000,41735000,44185000,38032000,32659000,28948000,-0.47596,-0.428644,0.0930504,-0.1955,0.012567,-0.58316,-0.416077,0.167084,3,P62873;F6UT28;B1AKQ8;F6X3N5;B3KVK2;P16520;E9PCP0;F5H0S8;F5H8J8;F5H100,P62873;F6UT28;B1AKQ8;F6X3N5,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,10,,,,,,,activation of adenylate cyclase activity,activation of adenylate cyclase activity by dopamine receptor signaling pathway,activation of adenylate cyclase activity by G-protein signaling pathway,biological regulation,cAMP-mediated signaling,cell activation,cell communication,cell surface receptor linked signaling pathway,cell-cell signaling,cellular metabolic process,cellular process,cellular response to amine stimulus,cellular response to catecholamine stimulus,cellular response to chemical stimulus,cellular response to endogenous stimulus,cellular response to glucagon stimulus,cellular response to hormone stimulus,cellular response to lipid,cellular response to monoamine stimulus,cellular response to organic nitrogen,cellular response to organic substance,cellular response to peptide hormone stimulus,cellular response to prostaglandin E stimulus,cellular response to prostaglandin stimulus,cellular response to stimulus,cyclic-nucleotide-mediated signaling,dopamine receptor signaling pathway,energy derivation by oxidation of organic compounds,energy reserve metabolic process,generation of precursor metabolites and energy,G-protein coupled receptor protein signaling pathway,"G-protein signaling, coupled to cAMP nucleotide second messenger","G-protein signaling, coupled to cyclic nucleotide second messenger",intracellular signal transduction,metabolic process,muscarinic acetylcholine receptor signaling pathway,oxidation-reduction process,platelet activation,positive regulation of adenylate cyclase activity,positive regulation of adenylate cyclase activity by G-protein signaling pathway,positive regulation of catalytic activity,positive regulation of cyclase activity,positive regulation of lyase activity,positive regulation of molecular function,Ras protein signal transduction,regulation of adenylate cyclase activity,regulation of adenylate cyclase activity involved in G-protein signaling pathway,regulation of biological process,regulation of biological quality,regulation of biosynthetic process,regulation of blood pressure,regulation of cAMP biosynthetic process,regulation of cAMP metabolic process,regulation of catalytic activity,regulation of cellular biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of cyclase activ,,,,,,,,,,,,,,,,,,,,,,,,
-0.374505,-0.668639,-0.392459,,,,20,56.6,50.582,0,20,15,21,23737000,24165000,25770000,22860000,24826000,24884000,-0.478534,-0.392459,0.16488,-0.344552,0.017954,-0.668639,-0.374505,0.294134,3,P31150;G5E9U5,P31150,Rab GDP dissociation inhibitor alpha,GDI1,2,,,,140;141;637;638,,,biological regulation,cellular process,cellular response to stimulus,establishment of localization,establishment of protein localization,intracellular signal transduction,protein transport,regulation of biological process,regulation of cellular process,regulation of response to stimulus,regulation of signal transduction,regulation of signaling,regulation of small GTPase mediated signal transduction,response to stimulus,signal transduction,small GTPase mediated signal transduction,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.433331,-0.441536,-0.560898,,,,19,33,63.083,1.70E-74,21,24,31,42537000,41376000,68567000,61374000,37616000,33111000,-0.478589,-0.441536,0.0714002,-0.149189,0.00820544,-0.560898,-0.433331,0.127567,3,O95302;B7Z6H3;B7Z230;B7Z1G9;C9J4P8;Q75LS8,O95302;B7Z6H3;B7Z230,Peptidyl-prolyl cis-trans isomerase FKBP9,FKBP9,6,,,,,,,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,macromolecule metabolic process,metabolic process,primary metabolic process,protein folding,protein metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.868121,-0.189269,-0.393179,,,,2,6.7,30.381,2.02E-05,2,2,2,426890,323610,466750,510850,331190,275610,-0.483523,-0.393179,0.348327,-0.720393,0.20391,-0.868121,-0.189269,0.678852,3,Q9UBV8,Q9UBV8,Peflin,PEF1,1,,,,,,,response to calcium ion,response to chemical stimulus,response to inorganic substance,response to metal ion,response to stimulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.602964,-0.431695,-0.430276,,,,37,45.4,96.695,4.99E-226,49,56,46,48592000,42918000,39098000,36623000,33871000,31867000,-0.488312,-0.431695,0.0992942,-0.203342,0.0014199,-0.602964,-0.430276,0.172688,3,P11216;H0Y4Z6,P11216,"Glycogen phosphorylase, brain form",PYGB,2,,,,,,,alcohol metabolic process,carbohydrate catabolic process,carbohydrate metabolic process,catabolic process,cellular carbohydrate catabolic process,cellular carbohydrate metabolic process,cellular glucan metabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular polysaccharide catabolic process,cellular polysaccharide metabolic process,cellular process,energy derivation by oxidation of organic compounds,energy reserve metabolic process,generation of precursor metabolites and energy,glucan catabolic process,glucan metabolic process,glucose metabolic process,glycogen catabolic process,glycogen metabolic process,hexose metabolic process,macromolecule catabolic process,macromolecule metabolic process,metabolic process,monosaccharide metabolic process,oxidation-reduction process,polysaccharide catabolic process,polysaccharide metabolic process,primary metabolic process,small molecule metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.299596,-0.734323,-0.438249,,,,21,39.9,70.923,0,51,43,49,98504000,110610000,127080000,112360000,92448000,87633000,-0.490722,-0.438249,0.222063,-0.452523,0.138653,-0.734323,-0.299596,0.434727,3,Q16881;B7Z904;Q16881-6;E7EW10;Q16881-3;E7ESI6;E9PNQ6;Q16881-4;B7Z2S5;Q16881-2;E2QRB9;Q16881-5;B2R5P6;E9PIR7;E9PMY9;F5H780;E9PKD3;E9PIZ5;E9PKI4;E9PLT3;E9PQI3;Q9NNW7;D3YTF9;F5H2V0;D3YTF8;Q9NNW7-2;E7ENA2;F5H1L4;E7EWK1;E9PJU2;E9PRI8,Q16881;B7Z904;Q16881-6;E7EW10;Q16881-3;E7ESI6;E9PNQ6;Q16881-4;B7Z2S5;Q16881-2;E2QRB9;Q16881-5;B2R5P6;E9PIR7;E9PMY9;F5H780,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,31,,,,33;34;35;36;37,,,biological regulation,cell redox homeostasis,cellular homeostasis,cellular lipid metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular response to stimulus,electron transport chain,establishment of localization,generation of precursor metabolites and energy,homeostatic process,lipid metabolic process,metabolic process,nitrogen compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule interconversion,nucleobase-containing small molecule metabolic process,oxidation-reduction process,primary metabolic process,regulation of biological process,regulation of biological quality,regulation of cellular process,response to chemical stimulus,response to inorganic substance,response to oxidative stress,response to oxygen radical,response to reactive oxygen species,response to stimulus,response to stress,signal transduction,small molecule metabolic process,transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.525683,-0.240197,-0.708703,,,,35,73.2,32.876,0,7,5,5,15345000,15312000,7461500,7229000,10935000,9183900,-0.491528,-0.525683,0.236113,-0.480366,0.18302,-0.708703,-0.240197,0.468506,3,P09493-3;D9YZV2;P09493-4;B7Z596;F5H7S3;H0YKX5,P09493-3;D9YZV2;P09493-4;B7Z596;F5H7S3;H0YKX5,,TPM1,6,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.562815,-0.473551,-0.438855,,,,8,16.9,52.384,8.25E-23,7,7,7,5428700,5287200,4058000,2812300,5382900,5219800,-0.49174,-0.473551,0.0639505,-0.130049,0.0346958,-0.562815,-0.438855,0.12396,3,P48637;B7Z514;B6F210,P48637;B7Z514;B6F210,Glutathione synthetase,GSS,3,,,,,,,anatomical structure development,cellular metabolic process,cellular process,developmental process,metabolic process,nervous system development,response to chemical stimulus,response to oxidative stress,response to stimulus,response to stress,system development,xenobiotic metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.563987,-0.518908,-0.394657,,,,2,13.5,20.478,9.48E-22,3,2,2,969670,773790,1016900,754340,930190,910210,-0.492518,-0.518908,0.0876955,-0.178056,0.0450797,-0.563987,-0.394657,0.16933,3,P51452;Q8IYJ9;K7ES89;K7ELG5,P51452;Q8IYJ9;K7ES89;K7ELG5,Dual specificity protein phosphatase 3,DUSP3,4,,,,,,,activation of immune response,activation of innate immune response,biological regulation,cell surface receptor linked signaling pathway,cellular process,cellular response to stimulus,cellular response to stress,defense response,enzyme linked receptor protein signaling pathway,immune response,immune response-activating signal transduction,immune response-regulating signaling pathway,immune system process,innate immune response,innate immune response-activating signal transduction,intracellular protein kinase cascade,intracellular signal transduction,MAPKKK cascade,MyD88-dependent toll-like receptor signaling pathway,MyD88-independent toll-like receptor signaling pathway,negative regulation of antigen receptor-mediated signaling pathway,negative regulation of biological process,negative regulation of cell activation,negative regulation of cell communication,negative regulation of cellular process,negative regulation of ERK1 and ERK2 cascade,negative regulation of immune system process,negative regulation of intracellular protein kinase cascade,negative regulation of JNK cascade,negative regulation of leukocyte activation,negative regulation of lymphocyte activation,negative regulation of MAPKKK cascade,negative regulation of response to stimulus,negative regulation of signal transduction,negative regulation of signaling,negative regulation of stress-activated protein kinase signaling cascade,negative regulation of T cell activation,negative regulation of T cell receptor signaling pathway,nerve growth factor receptor signaling pathway,pattern recognition receptor signaling pathway,positive regulation of biological process,positive regulation of cell cycle,positive regulation of cellular process,positive regulation of defense response,positive regulation of immune response,positive regulation of immune system process,positive regulation of innate immune response,positive regulation of mitotic cell cycle,positive regulation of response to stimulus,regulation of antigen receptor-mediated signaling pathway,regulation of biological process,regulation of cell activation,regulation of cell communication,regulation of cell cycle,regulation of cellular process,regulation of cellular response to stress,regulation of defense response,regulation of ERK1 and ERK2 cascade,regulati,,,,,,,,,,,,,,,,,,,,,,,
-0.818987,-0.351553,-0.325467,,,,36,80,41.792,0,644,673,658,10129000000,10775000000,12022000000,11634000000,9281100000,10179000000,-0.498669,-0.351553,0.27771,-0.556902,0.0260859,-0.818987,-0.325467,0.493519,3,P63261;I3L3I4;I3L1U9;I3L3I0;J3KT65;I3L3R2,P63261;I3L3I4;I3L1U9;I3L3I0,"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed",ACTG1,6,,,,107;108;110;111;112;113;114;115;116;208,,,adherens junction organization,axon guidance,biological regulation,blood coagulation,cell junction assembly,cell junction organization,cell-cell junction organization,cellular component assembly,cellular component assembly at cellular level,cellular component movement,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular process,chemotaxis,coagulation,hemostasis,locomotion,multicellular organismal process,regulation of biological quality,regulation of body fluid levels,response to chemical stimulus,response to external stimulus,response to stimulus,taxis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.600293,-0.47911,-0.424494,,,,15,60.6,18.506,6.15E-180,22,20,22,65789000,52136000,65944000,86210000,61074000,52879000,-0.501299,-0.47911,0.0899754,-0.179485,0.0546162,-0.600293,-0.424494,0.175799,3,P60981;P60981-2;F6RFD5,P60981;P60981-2;F6RFD5,Destrin,DSTN,3,,,,580;783,,,actin cytoskeleton organization,actin filament organization,actin filament severing,actin filament-based process,actin polymerization or depolymerization,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex subunit organization,cellular process,cytoskeleton organization,macromolecular complex subunit organization,organelle organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.416365,-0.559154,-0.538052,,,,8,12.4,129.93,2.18E-164,35,42,40,80217000,71215000,80158000,76707000,74671000,70635000,-0.504524,-0.538052,0.0770732,-0.152764,0.0211018,-0.559154,-0.416365,0.142789,3,Q9NQC3;Q9NQC3-5;Q9NQC3-2;F8WAM4;Q9NQC3-4;F8W914;Q9NQC3-6;H7C106;Q9NQC3-3,Q9NQC3;Q9NQC3-5;Q9NQC3-2;F8WAM4;Q9NQC3-4;F8W914;Q9NQC3-6;H7C106;Q9NQC3-3,Reticulon-4,RTN4,9,,,,1004;1005,,,apoptosis,axonal fasciculation,biological regulation,cell death,cell migration,cell motility,cell recognition,cell surface receptor linked signaling pathway,cellular component movement,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular process,cellular response to stimulus,cerebral cortex cell migration,cerebral cortex radial glia guided migration,cerebral cortex radially oriented cell migration,death,endoplasmic reticulum organization,endoplasmic reticulum tubular network organization,enzyme linked receptor protein signaling pathway,forebrain cell migration,locomotion,negative regulation of anti-apoptosis,negative regulation of axon extension,negative regulation of axonogenesis,negative regulation of biological process,negative regulation of cell development,negative regulation of cell differentiation,negative regulation of cell growth,negative regulation of cell projection organization,negative regulation of cellular component organization,negative regulation of cellular process,negative regulation of developmental growth,negative regulation of developmental process,negative regulation of growth,negative regulation of neurogenesis,nerve growth factor receptor signaling pathway,neuron recognition,organelle organization,programmed cell death,regulation of anatomical structure morphogenesis,regulation of anti-apoptosis,regulation of apoptosis,regulation of axon extension,regulation of axonogenesis,regulation of biological process,regulation of branching morphogenesis of a nerve,regulation of cell death,regulation of cell development,regulation of cell differentiation,regulation of cell growth,regulation of cell migration,regulation of cell morphogenesis,regulation of cell morphogenesis involved in differentiation,regulation of cell motility,regulation of cell projection organization,regulation of cellular component movement,regulation of cellular component organization,regulation of cellular process,regulation of developmental growth,regulation of developmental process,regulation of extent of cell growth,regulation of growth,regulation of localization,regulation of locomotion,regulation of morphogenesis of a branching,,,,,,,,,,,,,,
-0.463509,-0.687242,-0.368663,,,,11,35,44.875,1.92E-74,11,13,11,13227000,10558000,15237000,10467000,12522000,11109000,-0.506471,-0.463509,0.163577,-0.322974,0.0948465,-0.687242,-0.368663,0.318579,3,Q9BTV4,Q9BTV4,Transmembrane protein 43,TMEM43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.586254,-0.501422,-0.433331,,,,5,25.4,14.529,9.33E-58,9,11,10,22160000,19287000,27119000,22883000,22133000,20713000,-0.507003,-0.501422,0.0766142,-0.151112,0.0680914,-0.586254,-0.433331,0.152923,3,E9PR17;P13987;E9PNW4;H0YET2,E9PR17;P13987;E9PNW4;H0YET2,CD59 glycoprotein,CD59,4,,,,,,,biological regulation,blood coagulation,cell surface receptor linked signaling pathway,cellular process,cellular response to stimulus,coagulation,hemostasis,multicellular organismal process,regulation of biological process,regulation of biological quality,regulation of body fluid levels,regulation of cellular process,response to stimulus,signal transduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.363679,-0.633837,-0.524811,,,,14,31.5,57.206,5.22E-125,12,12,15,11724000,11851000,15281000,14521000,14820000,13102000,-0.507443,-0.524811,0.135914,-0.267841,0.109026,-0.633837,-0.363679,0.270158,3,P30837,P30837,"Aldehyde dehydrogenase X, mitochondrial",ALDH1B1,1,,,,,,,carbohydrate metabolic process,metabolic process,primary metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.476378,-0.546266,-0.50582,,,,22,52.8,50.14,1.05E-283,201,189,181,888700000,1158000000,998050000,1156300000,903700000,1066400000,-0.509488,-0.50582,0.0350884,-0.0688699,0.0294421,-0.546266,-0.476378,0.0698886,3,P68104;Q5VTE0;Q05639;Q5JR01;A6PW80,P68104;Q5VTE0,Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,5,,,,849;850;851;852;853,,,biological regulation,biosynthetic process,cellular biosynthetic process,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,macromolecule biosynthetic process,macromolecule metabolic process,metabolic process,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound metabolic process,primary metabolic process,regulation of biological process,regulation of biosynthetic process,regulation of cellular biosynthetic process,regulation of cellular macromolecule biosynthetic process,regulation of cellular metabolic process,regulation of cellular process,regulation of gene expression,regulation of macromolecule biosynthetic process,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of nitrogen compound metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of primary metabolic process,regulation of RNA metabolic process,"regulation of transcription, DNA-dependent",RNA biosynthetic process,RNA metabolic process,"transcription, DNA-dependent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.523857,-0.452925,-0.553066,,,,9,10.6,111.02,3.45E-37,8,8,10,10932000,8268100,13598000,9813300,9519100,7478900,-0.509949,-0.523857,0.0514987,-0.100988,0.0292095,-0.553066,-0.452925,0.100141,3,Q5JWF2;Q5JWF2-2;A6NI00;P63092;P63092-2;P63092-3;P38405-2;P38405;H0Y7F4;Q5JWE9;H0Y7E8;Q5JWD1;A2A2R6,Q5JWF2;Q5JWF2-2;A6NI00;P63092;P63092-2;P63092-3,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas;Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,GNAS,13,,,,,,,activation of adenylate cyclase activity,activation of adenylate cyclase activity by dopamine receptor signaling pathway,activation of adenylate cyclase activity by G-protein signaling pathway,biological regulation,blood coagulation,cAMP-mediated signaling,cell communication,cell surface receptor linked signaling pathway,cell-cell signaling,cellular metabolic process,cellular process,cellular response to amine stimulus,cellular response to catecholamine stimulus,cellular response to chemical stimulus,cellular response to endogenous stimulus,cellular response to glucagon stimulus,cellular response to hormone stimulus,cellular response to lipid,cellular response to monoamine stimulus,cellular response to organic nitrogen,cellular response to organic substance,cellular response to peptide hormone stimulus,cellular response to prostaglandin E stimulus,cellular response to prostaglandin stimulus,cellular response to stimulus,coagulation,cyclic-nucleotide-mediated signaling,dopamine receptor signaling pathway,energy derivation by oxidation of organic compounds,energy reserve metabolic process,establishment of localization,establishment of localization in cell,fluid transport,generation of precursor metabolites and energy,G-protein coupled receptor protein signaling pathway,"G-protein signaling, coupled to cAMP nucleotide second messenger","G-protein signaling, coupled to cyclic nucleotide second messenger",hemostasis,inhibition of adenylate cyclase activity by G-protein signaling pathway,intracellular signal transduction,intracellular transport,metabolic process,multicellular organismal process,negative regulation of adenylate cyclase activity,negative regulation of catalytic activity,negative regulation of cyclase activity,negative regulation of lyase activity,negative regulation of molecular function,neurological system process,oxidation-reduction process,positive regulation of adenylate cyclase activity,positive regulation of adenylate cyclase activity by G-protein signaling pathway,positive regulation of catalytic activity,positive regulation of cyclase activity,positive regulation of lyase activity,positive regulation of molecular function,regulation of adenylate cyclase activity,regulation of adenylate cyclase activity involved in G-protein signaling pathway,regulatio,,,,,,,,,,,,,,,,,,,,,,,
